,Well,Time step,unloading,stable production,restriction on production line,towards stable production
133,W9,2813,0.0,1.0,0.0,0.0
134,W2,4230,0.0,1.0,0.0,0.0
135,W15,3030,0.0,1.0,0.0,0.0
136,W19,3708,0.0,1.0,0.0,0.0
137,W2,3395,0.0,1.0,0.0,0.0
138,W15,2077,0.0,1.0,0.0,0.0
139,W20,2611,0.0,1.0,0.0,0.0
140,W8,2593,0.0,0.0,1.0,0.0
141,W16,3464,0.0,1.0,0.0,0.0
142,W14,5685,0.0,1.0,0.0,0.0
143,W14,5495,0.0,1.0,0.0,0.0
144,W2,4007,0.0,1.0,0.0,0.0
145,W16,562,1.0,0.0,0.0,0.0
146,W19,1848,0.0,1.0,0.0,0.0
147,W12,2451,0.0,1.0,0.0,0.0
148,W16,4436,0.0,1.0,0.0,0.0
149,W19,4670,0.0,1.0,0.0,0.0
150,W9,2212,0.0,0.0,0.0,1.0
151,W16,1093,1.0,0.0,0.0,0.0
152,W16,1376,0.0,0.0,0.0,1.0
153,W17,4135,0.0,1.0,0.0,0.0
154,W3,1825,0.0,1.0,0.0,0.0
155,W13,4377,0.0,1.0,0.0,0.0
156,W11,701,1.0,0.0,0.0,0.0
157,W2,2622,0.0,1.0,0.0,0.0
158,W7,1758,0.0,1.0,0.0,0.0
159,W7,716,1.0,0.0,0.0,0.0
160,W4,379,1.0,0.0,0.0,0.0
161,W2,672,1.0,0.0,0.0,0.0
162,W20,586,1.0,0.0,0.0,0.0
163,W15,3012,0.0,1.0,0.0,0.0
164,W14,1752,0.0,0.0,0.0,1.0
165,W16,1728,0.0,1.0,0.0,0.0
166,W20,1049,1.0,0.0,0.0,0.0
167,W18,2403,0.0,1.0,0.0,0.0
168,W10,2214,0.0,1.0,0.0,0.0
169,W3,1180,1.0,0.0,0.0,0.0
170,W7,2000,0.0,1.0,0.0,0.0
171,W15,3189,0.0,1.0,0.0,0.0
172,W16,1925,0.0,1.0,0.0,0.0
173,W19,4597,0.0,1.0,0.0,0.0
174,W14,400,1.0,0.0,0.0,0.0
175,W3,1844,0.0,1.0,0.0,0.0
176,W14,5472,0.0,1.0,0.0,0.0
177,W5,2046,0.0,0.0,0.0,1.0
178,W16,1582,0.0,1.0,0.0,0.0
179,W19,3868,0.0,1.0,0.0,0.0
180,W5,892,1.0,0.0,0.0,0.0
181,W14,2302,0.0,1.0,0.0,0.0
182,W2,2913,0.0,1.0,0.0,0.0
183,W19,2545,0.0,1.0,0.0,0.0
184,W12,269,1.0,0.0,0.0,0.0
185,W17,4928,0.0,1.0,0.0,0.0
186,W15,5191,0.0,1.0,0.0,0.0
187,W8,5196,0.0,0.0,1.0,0.0
188,W17,4512,0.0,1.0,0.0,0.0
189,W19,3925,0.0,1.0,0.0,0.0
190,W13,2839,0.0,1.0,0.0,0.0
191,W4,815,1.0,0.0,0.0,0.0
192,W4,1143,1.0,0.0,0.0,0.0
193,W11,1357,0.0,0.0,0.0,1.0
194,W10,2238,0.0,1.0,0.0,0.0
195,W17,940,1.0,0.0,0.0,0.0
196,W2,1882,0.0,0.0,0.0,1.0
197,W9,1098,1.0,0.0,0.0,0.0
198,W3,1416,0.0,0.0,0.0,1.0
199,W7,796,1.0,0.0,0.0,0.0
200,W18,1423,0.0,0.0,0.0,1.0
201,W5,5305,0.0,1.0,0.0,0.0
202,W2,337,1.0,0.0,0.0,0.0
203,W7,2795,0.0,1.0,0.0,0.0
204,W4,2895,0.0,0.0,1.0,0.0
205,W19,4964,0.0,1.0,0.0,0.0
206,W12,354,1.0,0.0,0.0,0.0
207,W11,310,1.0,0.0,0.0,0.0
208,W18,4215,0.0,1.0,0.0,0.0
209,W12,1910,0.0,1.0,0.0,0.0
210,W15,313,1.0,0.0,0.0,0.0
211,W7,3595,0.0,1.0,0.0,0.0
212,W13,3510,0.0,1.0,0.0,0.0
213,W8,2644,0.0,0.0,1.0,0.0
214,W13,1612,0.0,0.0,0.0,1.0
215,W11,581,1.0,0.0,0.0,0.0
216,W13,2773,0.0,1.0,0.0,0.0
217,W16,1022,1.0,0.0,0.0,0.0
218,W10,897,1.0,0.0,0.0,0.0
219,W12,1452,0.0,0.0,0.0,1.0
220,W20,2181,0.0,1.0,0.0,0.0
221,W14,4656,0.0,1.0,0.0,0.0
222,W13,505,1.0,0.0,0.0,0.0
223,W15,1528,0.0,0.0,0.0,1.0
224,W14,6463,0.0,1.0,0.0,0.0
225,W2,4089,0.0,1.0,0.0,0.0
226,W13,3856,0.0,1.0,0.0,0.0
227,W3,1427,0.0,0.0,0.0,1.0
228,W8,5504,0.0,0.0,1.0,0.0
229,W20,1538,0.0,1.0,0.0,0.0
230,W3,1273,1.0,0.0,0.0,0.0
231,W8,1793,0.0,0.0,1.0,0.0
232,W13,733,1.0,0.0,0.0,0.0
233,W2,3884,0.0,1.0,0.0,0.0
234,W9,3670,0.0,1.0,0.0,0.0
235,W9,1329,1.0,0.0,0.0,0.0
236,W18,2963,0.0,1.0,0.0,0.0
237,W13,892,1.0,0.0,0.0,0.0
238,W20,2429,0.0,1.0,0.0,0.0
239,W14,5169,0.0,1.0,0.0,0.0
240,W3,847,1.0,0.0,0.0,0.0
241,W5,1024,1.0,0.0,0.0,0.0
242,W5,3424,0.0,1.0,0.0,0.0
243,W19,3800,0.0,1.0,0.0,0.0
244,W4,2886,0.0,0.0,1.0,0.0
245,W5,4054,0.0,1.0,0.0,0.0
246,W15,2686,0.0,1.0,0.0,0.0
247,W16,3746,0.0,1.0,0.0,0.0
248,W7,3489,0.0,1.0,0.0,0.0
249,W17,356,1.0,0.0,0.0,0.0
250,W20,1782,0.0,1.0,0.0,0.0
251,W14,846,1.0,0.0,0.0,0.0
252,W4,2603,0.0,0.0,1.0,0.0
253,W11,1867,0.0,1.0,0.0,0.0
254,W18,910,1.0,0.0,0.0,0.0
255,W14,2913,0.0,1.0,0.0,0.0
256,W15,2476,0.0,1.0,0.0,0.0
257,W3,2810,0.0,1.0,0.0,0.0
258,W15,1604,0.0,0.0,0.0,1.0
259,W14,734,1.0,0.0,0.0,0.0
260,W14,5650,0.0,1.0,0.0,0.0
261,W16,3303,0.0,1.0,0.0,0.0
262,W4,1155,1.0,0.0,0.0,0.0
263,W11,347,1.0,0.0,0.0,0.0
264,W16,2593,0.0,1.0,0.0,0.0
265,W4,447,1.0,0.0,0.0,0.0
266,W9,2360,0.0,1.0,0.0,0.0
267,W19,4691,0.0,1.0,0.0,0.0
268,W12,2359,0.0,1.0,0.0,0.0
269,W17,3338,0.0,1.0,0.0,0.0
270,W8,2463,0.0,0.0,1.0,0.0
271,W8,3708,0.0,0.0,1.0,0.0
272,W15,3339,0.0,1.0,0.0,0.0
273,W20,2405,0.0,1.0,0.0,0.0
274,W7,1939,0.0,1.0,0.0,0.0
275,W9,2036,0.0,0.0,0.0,1.0
276,W13,2952,0.0,1.0,0.0,0.0
277,W15,1265,1.0,0.0,0.0,0.0
278,W8,4720,0.0,0.0,1.0,0.0
279,W2,1758,0.0,0.0,0.0,1.0
280,W11,1356,0.0,0.0,0.0,1.0
281,W20,1210,1.0,0.0,0.0,0.0
282,W19,940,1.0,0.0,0.0,0.0
283,W14,2455,0.0,1.0,0.0,0.0
284,W2,4175,0.0,1.0,0.0,0.0
285,W7,1712,0.0,1.0,0.0,0.0
